# OPTIMISATION LOG --- BEECH BROAD --- 2026-07-06 17:50:35
call_id,timestamp,error,error_heat,error_moist,b1_org[W/(m.K)],b2_org[W/(m.K)],b3_org[W/(m.K)],b1_min[W/(m.K)],b2_min[W/(m.K)],b3_min[W/(m.K)],albedo[-],alpha_org[1/m],n_org[-],K_org[m/s],alpha_min[1/m],n_min[-],K_min[m/s],S_max[m/s]
15,2026-07-06 17:59:27,4.1392033,3.1879097,2.6401204,1.2877492,2.3845847,1.6733205,1.014017,7.1944874,5.9440082,0.19032127,4.0354613,2.461154,2.6332473e-07,1.8101398,1.9363381,5.6176758e-08,1.9349175e-09
11,2026-07-06 17:59:37,4.4815264,3.4239069,2.8915291,1.5722275,6.4423277,5.346634,1.4516647,0.12333601,0.29422456,0.12580075,8.8058362,4.598511,0.00025788339,3.3378509,1.6323332,7.4231692e-06,1.4754909e-07
4,2026-07-06 17:59:45,5.2651438,3.6138743,3.8290537,1.6220978,4.5308921,2.0528997,0.86417067,6.5970734,3.0441324,0.131338,1.339584,3.1942474,5.1732719e-05,2.3451784,1.9007893,6.0270756e-05,4.5802395e-07
21,2026-07-06 17:59:50,4.0746941,3.4431209,2.1790021,0.63483864,6.3694317,3.387142,1.4560612,2.2392318,5.2928259,0.24400924,3.1139267,2.9143735,9.7641745e-06,7.9193084,1.3866292,1.5275276e-06,2.9944781e-09
8,2026-07-06 17:59:54,3.3465751,3.1747301,1.058609,1.457942,1.7618647,4.1768786,1.1947502,3.9517185,0.74175095,0.077648897,6.2573161,2.5343082,0.00062515026,2.0513046,1.9376222,9.0413862e-06,3.8304899e-09
12,2026-07-06 17:59:57,4.2310402,3.2397937,2.7212935,1.1542185,5.9583261,0.56384737,0.28618954,7.5207752,3.1440517,0.05913821,5.2310037,2.951825,1.0541404e-06,2.6027622,1.3599993,2.3841947e-07,4.2207741e-08
2,2026-07-06 18:00:01,4.3193334,3.2593943,2.8342528,1.5844424,4.4808657,0.046966644,1.6152636,6.7864922,4.7752967,0.2735999,1.6931083,2.3398602,0.00028321538,6.187559,1.3749553,5.3379998e-07,2.0604463e-07
3,2026-07-06 18:00:03,3.7486879,3.0597917,2.1657183,0.31601657,5.6815976,0.13575567,1.7308483,6.7492239,5.380562,0.18751543,3.7733126,4.970573,8.3087358e-06,8.756798,1.6579638,7.7867425e-07,1.1014618e-09
16,2026-07-06 18:00:04,4.8481129,3.489925,3.3652075,1.3198744,0.2652024,2.5411687,1.9564425,4.4227309,3.064492,0.17583927,1.1676328,2.3830655,3.1545564e-07,4.4431999,1.6875874,1.6436077e-06,8.2215025e-08
22,2026-07-06 18:00:11,3.0043635,2.8373521,0.98774158,1.3658191,0.79348535,2.4840548,1.5039866,2.9378814,2.8285693,0.094841194,1.3899494,4.5448577,0.00013485044,2.2740263,1.4081058,4.7892805e-06,1.9685946e-08
25,2026-07-06 18:08:00,4.7531213,2.9757735,3.706337,0.89312427,6.2648777,5.4848231,1.4884067,4.4610578,1.2496342,0.26529929,1.0679689,2.5766674,0.00014841621,9.3198304,1.6374018,0.00013411754,6.5200291e-08
23,2026-07-06 18:08:27,4.7645459,3.7115118,2.9875706,0.25158227,6.1852467,2.9130135,0.71280275,5.0962191,5.1722679,0.26785925,1.6719749,3.1650973,8.8517288e-07,2.3008741,1.730522,1.0506729e-08,2.0373444e-08
27,2026-07-06 18:08:32,3.971928,3.2949488,2.2180001,0.5157102,5.9778119,2.5038761,1.311316,1.5371205,5.0183122,0.29996868,4.8498124,3.2608892,2.9834801e-05,8.2454738,1.4316765,1.034392e-06,1.046749e-09
31,2026-07-06 18:08:34,5.0153738,3.421059,3.6674692,1.1113356,0.35667271,5.7942597,1.5620993,7.6979769,2.5861188,0.15062649,8.8652492,4.6680716,5.6173987e-05,4.8896491,1.4818638,1.4830761e-08,4.5888293e-08
24,2026-07-06 18:09:10,5.009302,3.2479182,3.8136772,1.1991518,1.7851193,4.6232871,1.6472652,5.9943672,0.55269416,0.21875908,1.0932201,2.7843121,3.7836048e-06,4.0894539,1.8696058,0.000437269,5.7415875e-08
33,2026-07-06 18:09:26,4.1849746,3.1958232,2.7019857,0.52930785,7.3621105,5.1327251,0.17083405,2.5924505,1.9759953,0.18395004,3.5864775,2.7395276,4.7184286e-06,1.2047853,1.8024858,3.8584049e-08,1.3140351e-09
34,2026-07-06 18:11:32,5.1254217,3.4902484,3.7534136,1.5235379,6.1527835,1.0826021,1.3323912,3.021583,0.44860703,0.29585381,1.1095165,3.4250638,1.0577967e-07,2.8342802,1.6833467,0.00023270704,2.1848617e-07
35,2026-07-06 18:13:13,4.6586167,3.6203054,2.9319104,1.6192232,4.6022743,2.7249371,0.19954783,7.2710319,1.0664982,0.084745469,1.0814677,3.7102558,5.777755e-07,5.1208505,1.419097,1.5222475e-08,2.3514466e-07
44,2026-07-06 18:15:31,4.1616202,3.3763095,2.4330263,1.7822629,2.1414423,1.2892388,1.4616221,0.21759635,4.7401547,0.2476722,1.4978661,3.6569772,1.523144e-08,2.6627082,1.9412634,6.1732221e-08,1.0074338e-09
40,2026-07-06 18:15:32,2.9685258,2.8145402,0.94366783,0.95549235,6.7214666,5.279196,1.7932805,6.3639593,5.8892297,0.26659371,5.4226189,4.8582456,6.5973926e-06,3.4077091,1.8152402,2.0073018e-06,6.4214938e-09
42,2026-07-06 18:15:41,3.5459236,3.211049,1.5042402,1.4626485,4.4370066,4.4084994,0.12316251,0.16728243,3.3846757,0.25901093,2.0648095,4.8332423,4.2063175e-07,1.1893362,1.9608973,2.7267649e-07,1.8915887e-09
