# OPTIMALIZATION LOG --- SUBSET FINETUNING MULTISTAGE (L-BFGS-B) --- 2026-03-12 12:11:53
# CALIBRATED VARS: ['b1_org', 'b1_min', 'b3_org', 'albedo', 'alpha_org', 'n_org', 'alpha_min', 'n_min']
call_id,timestamp,error,error_heat,error_moist,b1_org[W/(m.K)],b2_org[W/(m.K)],b3_org[W/(m.K)],b1_min[W/(m.K)],b2_min[W/(m.K)],b3_min[W/(m.K)],albedo[-],alpha_org[1/m],n_org[-],K_org[m/s],alpha_min[1/m],n_min[-],K_min[m/s],S_max[m/s]
13,2026-03-12 12:21:35,0.71950613,0.62587535,0.35492128,0.087075927,0.872773,0.41608328,0.067538665,0.854659,1.4491847,0.11216686,3.5065097,3.8033691,5.49161e-05,1.3003892,1.4038775,0.000183719,1.79521e-08
8,2026-03-12 12:21:35,0.72897046,0.61449694,0.39216251,0.087207496,0.872773,0.42233471,0.06833122,0.854659,1.4491847,0.11072308,3.4998553,3.8113287,5.49161e-05,1.3012241,1.3849386,0.000183719,1.79521e-08
2,2026-03-12 12:21:36,0.70191873,0.58422269,0.3890678,0.087013081,0.872773,0.41845629,0.068017185,0.854659,1.4491847,0.11044991,3.4392076,3.7863976,5.49161e-05,1.3001218,1.3955502,0.000183719,1.79521e-08
6,2026-03-12 12:21:36,0.70565135,0.58565045,0.39364626,0.087245503,0.872773,0.42012005,0.067568327,0.854659,1.4491847,0.11028333,3.4856111,3.7860484,5.49161e-05,1.3024455,1.3981979,0.000183719,1.79521e-08
15,2026-03-12 12:21:37,0.68280495,0.56972882,0.37633984,0.086978383,0.872773,0.42020797,0.067618657,0.854659,1.4491847,0.11193283,3.4934378,3.8048659,5.49161e-05,1.3015305,1.3943679,0.000183719,1.79521e-08
12,2026-03-12 12:21:37,0.74455507,0.62583168,0.40335711,0.087604198,0.872773,0.41875775,0.068486061,0.854659,1.4491847,0.1103999,3.4300428,3.7571784,5.49161e-05,1.303526,1.3897662,0.000183719,1.79521e-08
5,2026-03-12 12:21:38,0.67504033,0.55287244,0.3873132,0.087795672,0.872773,0.41903039,0.068546739,0.854659,1.4491847,0.11157886,3.4361493,3.8242737,5.49161e-05,1.3037929,1.3987839,0.000183719,1.79521e-08
9,2026-03-12 12:21:38,0.70339417,0.56139139,0.42379602,0.087552515,0.872773,0.41999283,0.068139216,0.854659,1.4491847,0.11070437,3.4307349,3.7834437,5.49161e-05,1.3000372,1.3882822,0.000183719,1.79521e-08
4,2026-03-12 12:21:38,0.69993984,0.56553726,0.41241167,0.086667808,0.872773,0.41912695,0.067882759,0.854659,1.4491847,0.11208876,3.483483,3.8126923,5.49161e-05,1.3016083,1.3832393,0.000183719,1.79521e-08
3,2026-03-12 12:21:38,0.69263347,0.56387213,0.40223046,0.087412574,0.872773,0.4158833,0.068504588,0.854659,1.4491847,0.11143281,3.4934002,3.7772165,5.49161e-05,1.3052357,1.4017619,0.000183719,1.79521e-08
1,2026-03-12 12:21:39,0.72097075,0.61193986,0.38121965,0.087803404,0.872773,0.416981,0.068013327,0.854659,1.4491847,0.11012612,3.4412941,3.802107,5.49161e-05,1.3036802,1.4038311,0.000183719,1.79521e-08
7,2026-03-12 12:21:39,0.68708992,0.57757458,0.3721561,0.08763595,0.872773,0.41652046,0.067650148,0.854659,1.4491847,0.11004511,3.4959084,3.8007282,5.49161e-05,1.3034077,1.3986355,0.000183719,1.79521e-08
16,2026-03-12 12:21:41,0.73890717,0.60274054,0.42741974,0.087464114,0.872773,0.42080059,0.067492982,0.854659,1.4491847,0.11095301,3.4316569,3.787783,5.49161e-05,1.3008284,1.3809385,0.000183719,1.79521e-08
10,2026-03-12 12:21:41,0.71171561,0.59644674,0.38831739,0.086725714,0.872773,0.41955202,0.067585362,0.854659,1.4491847,0.11157653,3.4663836,3.7792239,5.49161e-05,1.3006338,1.3944506,0.000183719,1.79521e-08
14,2026-03-12 12:21:42,0.70696447,0.57957393,0.40483677,0.087804045,0.872773,0.42136315,0.067989697,0.854659,1.4491847,0.11063389,3.4363386,3.8187414,5.49161e-05,1.3016932,1.3825474,0.000183719,1.79521e-08
11,2026-03-12 12:21:42,0.71289664,0.60112406,0.38323816,0.087934414,0.872773,0.41731077,0.067457399,0.854659,1.4491847,0.11065421,3.4532463,3.8005059,5.49161e-05,1.3023891,1.3987237,0.000183719,1.79521e-08
17,2026-03-12 12:31:13,0.71888792,0.62505701,0.35511064,0.087075937,0.872773,0.41608328,0.067538665,0.854659,1.4491847,0.11216686,3.5065097,3.8033691,5.49161e-05,1.3003892,1.4038775,0.000183719,1.79521e-08
26,2026-03-12 12:31:15,0.69263261,0.56387148,0.40222989,0.087412584,0.872773,0.4158833,0.068504588,0.854659,1.4491847,0.11143281,3.4934002,3.7772165,5.49161e-05,1.3052357,1.4017619,0.000183719,1.79521e-08
18,2026-03-12 12:31:16,0.72897022,0.61449668,0.39216249,0.087207506,0.872773,0.42233471,0.06833122,0.854659,1.4491847,0.11072308,3.4998553,3.8113287,5.49161e-05,1.3012241,1.3849386,0.000183719,1.79521e-08
19,2026-03-12 12:31:17,0.70195123,0.58427368,0.38904985,0.087013091,0.872773,0.41845629,0.068017185,0.854659,1.4491847,0.11044991,3.4392076,3.7863976,5.49161e-05,1.3001218,1.3955502,0.000183719,1.79521e-08
27,2026-03-12 12:31:17,0.7209709,0.61193962,0.38122034,0.087803414,0.872773,0.416981,0.068013327,0.854659,1.4491847,0.11012612,3.4412941,3.802107,5.49161e-05,1.3036802,1.4038311,0.000183719,1.79521e-08
25,2026-03-12 12:31:20,0.69994009,0.5655375,0.41241177,0.086667818,0.872773,0.41912695,0.067882759,0.854659,1.4491847,0.11208876,3.483483,3.8126923,5.49161e-05,1.3016083,1.3832393,0.000183719,1.79521e-08
23,2026-03-12 12:31:20,0.67505637,0.552871,0.38734322,0.087795682,0.872773,0.41903039,0.068546739,0.854659,1.4491847,0.11157886,3.4361493,3.8242737,5.49161e-05,1.3037929,1.3987839,0.000183719,1.79521e-08
31,2026-03-12 12:31:22,0.70696494,0.5795748,0.40483636,0.087804055,0.872773,0.42136315,0.067989697,0.854659,1.4491847,0.11063389,3.4363386,3.8187414,5.49161e-05,1.3016932,1.3825474,0.000183719,1.79521e-08
22,2026-03-12 12:31:23,0.74455629,0.62584157,0.40334402,0.087604208,0.872773,0.41875775,0.068486061,0.854659,1.4491847,0.1103999,3.4300428,3.7571784,5.49161e-05,1.303526,1.3897662,0.000183719,1.79521e-08
21,2026-03-12 12:31:23,0.68280904,0.56973205,0.37634237,0.086978393,0.872773,0.42020797,0.067618657,0.854659,1.4491847,0.11193283,3.4934378,3.8048659,5.49161e-05,1.3015305,1.3943679,0.000183719,1.79521e-08
20,2026-03-12 12:31:23,0.70565111,0.58564952,0.39364722,0.087245513,0.872773,0.42012005,0.067568327,0.854659,1.4491847,0.11028333,3.4856111,3.7860484,5.49161e-05,1.3024455,1.3981979,0.000183719,1.79521e-08
