# OPTIMALIZATION LOG --- STAGE 1 --- 2026-02-19 20:27:24 
call_id,timestamp,error,error_heat,error_moist,b1_org[W/(m.K)],b2_org[W/(m.K)],b3_org[W/(m.K)],b1_min[W/(m.K)],b2_min[W/(m.K)],b3_min[W/(m.K)],albedo[-],alpha_org[1/m],n_org[-],K_org[m/s],alpha_min[1/m],n_min[-],K_min[m/s],S_max[m/s]
9,2026-02-19 20:36:39,11.009082,8.3554429,7.1684358,2.5051498,2.5970033,4.2066589,0.54643324,7.5431898,1.9826904,0.18942382,0.43530553,1.5822089,-4.9326733,0.42503594,2.7368338,-4.2997337,-7.5732456
8,2026-02-19 20:36:39,7.808435,3.7511711,6.8483847,0.040755746,0.15406783,1.7077335,1.87231,4.7727023,2.4834622,0.19568825,0.12601543,1.7274607,-3.9780451,0.32701791,2.4861318,-4.2630774,-6.9288913
14,2026-02-19 20:36:39,10.778192,7.8719523,7.362187,0.76933385,1.2644685,4.3875604,2.0298012,1.1591633,0.62983067,0.17320429,0.72142708,1.1643436,-6.3245153,0.71216821,4.2956631,-3.4617791,-8.2111176
11,2026-02-19 20:36:40,11.178452,8.4210512,7.3514404,2.1798019,5.5701313,0.55549315,1.4422635,5.8343727,5.0720903,0.23619596,0.83247085,1.3835532,-7.4263325,0.21665718,4.5150174,-6.2038034,-8.3270336
3,2026-02-19 20:36:41,10.873255,8.0044735,7.3590813,2.4697544,6.9093564,2.3027143,1.7753802,1.1108626,1.0420158,0.1271312,0.36632253,1.17405,-6.4974814,0.86436902,3.369164,-5.9243664,-8.1022389
16,2026-02-19 20:36:42,11.404349,8.724205,7.3448916,2.5869299,0.50940092,5.8611313,1.5250086,3.2630029,1.7421535,0.24631071,0.16172796,1.5458723,-7.6509301,0.85301729,2.9300777,-3.2404287,-6.9385488
1,2026-02-19 20:36:42,10.846652,7.9914181,7.3339689,0.66297572,4.8684804,3.4940648,2.807497,3.3451346,3.2017608,0.086313406,0.29869409,1.3677804,-4.5789517,0.52313691,3.2843474,-4.6730262,-8.1461472
13,2026-02-19 20:36:52,10.827201,8.0869743,7.1992452,0.59925799,1.3919626,2.6865411,0.40577824,3.6860049,2.9902059,0.056741386,0.47639792,1.8143799,-6.0943463,0.34361133,2.9473131,-7.0186958,-6.3312451
12,2026-02-19 20:36:59,10.631214,7.8391089,7.1813014,1.2866239,5.259948,2.192414,1.4693395,3.4941233,5.2374861,0.065182734,0.38527972,1.1480486,-6.2841807,0.38167861,2.8353548,-4.5577645,-6.1359345
17,2026-02-19 20:45:51,11.026488,8.6014535,6.8991618,0.84326825,2.9973532,5.2513936,0.082966646,7.5120891,2.0663099,0.087467619,0.95634192,1.5249803,-6.3988145,0.31378625,2.5511446,-3.3365765,-8.7780423
