# OPTIMALIZATION LOG --- STAGE 1 --- 2026-02-18 23:49:31 
call_id,timestamp,error,error_heat,error_moist,b1_org[W/(m.K)],b2_org[W/(m.K)],b3_org[W/(m.K)],b1_min[W/(m.K)],b2_min[W/(m.K)],b3_min[W/(m.K)],albedo[-],alpha_org[1/m],n_org[-],K_org[m/s],alpha_min[1/m],n_min[-],K_min[m/s],S_max[m/s]
11,2026-02-18 23:58:48,7.0741313,3.2452905,2.8134842,1.7124292,0.52282169,9.7198918,0.30266735,6.750478,3.1330342,0.109581,0.062944954,1.9232029,-6.5425348,0.1029422,2.3530689,-3.7475407,1.3232868e-08
16,2026-02-18 23:58:49,6.2507011,2.9865757,1.8419356,8.324312,1.0458781,6.8246974,8.3898627,3.1643241,3.021047,0.088044549,0.58852946,3.7869212,-4.4409583,0.54288442,1.7692714,-4.7565272,3.8408393e-08
15,2026-02-18 23:58:50,5.5709422,2.6530006,1.697571,2.6071213,2.9574289,5.0355495,7.3144106,5.8704752,0.03138049,0.21699861,0.69372741,3.0291569,-6.1086216,0.68189265,1.6337072,-6.0602221,6.5627481e-09
5,2026-02-18 23:58:51,6.8417228,3.2576302,2.0881936,4.2820593,8.4158592,9.7428377,6.3295202,0.50350055,7.0796248,0.24481576,0.52601446,1.2233053,-3.6839521,0.95180365,1.327569,-5.4275228,3.2169444e-08
6,2026-02-18 23:58:54,6.4100223,2.8773403,2.8234797,5.3490774,8.3182298,1.4256495,7.8902949,3.7047312,3.2572261,0.12721772,0.57328372,2.5539499,-4.3270723,0.34438616,1.6643327,-6.2064617,9.4379729e-08
10,2026-02-18 23:58:57,6.7537426,3.1386002,2.4919462,4.2145132,9.317986,6.9957752,9.7808722,7.1424074,7.2987432,0.15667976,0.56051965,1.2347692,-4.5879315,0.78903302,1.3862636,-4.4447905,5.1881434e-08
1,2026-02-18 23:59:05,6.2340619,2.515543,3.6812635,0.90631592,1.3016957,4.2037586,9.6574168,9.0368494,8.7782585,0.13952679,0.30228923,3.6766166,-7.3378721,0.68646637,3.2287382,-5.5846751,1.1440768e-08
14,2026-02-18 23:59:22,6.8952006,2.9293375,3.6358931,4.6266423,2.4352822,3.0297482,8.9021673,2.8145485,6.5983621,0.24938694,0.62022172,1.8210189,-7.8257406,0.6000674,2.3370312,-3.3188605,2.0052007e-08
2,2026-02-18 23:59:40,5.4355681,2.1693183,3.2743904,1.1211694,0.75436037,0.38147582,6.5493516,0.058736316,0.39794861,0.24361285,0.5111571,2.7328562,-3.8338551,0.16234472,3.6966072,-4.6435932,5.4648038e-08
7,2026-02-19 00:04:04,8.0173268,3.6903008,3.1311739,8.5424476,8.5380234,3.5321755,0.02130416,1.2957205,9.2066264,0.10762014,0.3577878,3.055448,-4.8109342,0.083943039,3.8268157,-5.1930949,5.9640945e-08
