# OPTIMALIZATION LOG --- STAGE 1 SPRUCE --- 2026-03-18 15:42:27 
call_id,timestamp,error,error_heat,error_moist,b1_org[W/(m.K)],b2_org[W/(m.K)],b3_org[W/(m.K)],b1_min[W/(m.K)],b2_min[W/(m.K)],b3_min[W/(m.K)],albedo[-],alpha_org[1/m],n_org[-],K_org[m/s],alpha_min[1/m],n_min[-],K_min[m/s],S_max[m/s]
12,2026-03-18 15:51:41,4.7357671,3.6036738,3.0726251,1.771904,1.8768939,4.8325747,1.426,2.4549889,0.11489207,0.28061657,2.8396495,1.9184245,0.00043274866,6.3938528,2.7778293,5.2062756e-06,4.3456433e-08
11,2026-03-18 15:51:41,4.9487507,3.6689702,3.3209624,1.8039645,1.6359754,5.3921479,1.3269771,0.18600378,3.5957371,0.18203496,1.0589766,1.7193231,8.549229e-05,9.4108813,4.9068448,1.0206314e-05,1.5296592e-08
5,2026-03-18 15:51:42,4.5183262,3.1390121,3.2499038,1.531365,2.8168665,0.70468232,0.30612711,6.4527454,2.5295048,0.28529965,4.6146251,1.2639133,7.5749151e-08,4.5699436,2.4215975,0.00041979318,4.3432837e-09
10,2026-03-18 15:51:42,4.8091272,3.5713651,3.2207228,1.4796058,4.3723776,2.8069202,0.39624109,1.9494408,5.4634195,0.056080868,1.0232797,1.2996713,0.00030748482,2.2512343,2.3636267,5.5556697e-06,5.4250142e-08
16,2026-03-18 15:51:42,4.6374901,3.398563,3.1553262,1.8242276,7.5122634,2.517101,0.22012602,2.9709098,1.8503632,0.089097789,8.9193153,1.3907581,2.86212e-07,3.9401091,3.8512442,1.9333146e-08,2.7395426e-09
17,2026-03-18 15:51:42,4.2950599,2.9192939,3.1504384,0.94068469,7.9628132,0.47163532,0.81991908,3.6323815,5.8642689,0.285574,1.1931273,1.418208,3.2720383e-08,7.1161024,4.7106271,1.2947361e-07,2.3772123e-09
15,2026-03-18 15:51:43,4.3968597,3.5232027,2.6304786,1.4576057,1.9933885,2.0876661,1.5193777,4.766629,2.9576114,0.10620107,1.2564771,1.8445063,9.712265e-07,1.1990531,2.5362854,1.3479818e-07,6.9447232e-08
8,2026-03-18 15:51:43,4.8380767,3.5874825,3.2460676,1.8690403,7.7505868,0.75154852,1.8284201,2.7153725,2.7673049,0.12603386,1.9078341,1.4982811,0.0006805821,1.047705,2.3581853,1.1376988e-07,5.4426501e-07
1,2026-03-18 15:51:52,4.7088086,3.2734117,3.3849157,1.4993073,6.2108984,1.2127302,1.9825083,6.8116079,0.2394054,0.16450878,1.993317,1.3799235,3.3605428e-05,1.2104166,3.1264763,0.00095896408,3.7363543e-07
19,2026-03-18 15:52:00,4.0708009,3.3067439,2.3742082,1.4485682,0.31944091,1.0866039,0.65242251,7.2500521,5.1438323,0.20889953,2.6229803,1.7919193,2.9277432e-05,1.1863162,4.31796,2.0384683e-08,3.1728346e-09
29,2026-03-18 16:00:56,4.7378575,3.4249459,3.273689,1.9386037,0.82083264,5.6655064,1.9412282,2.7992277,0.93035959,0.20978259,7.3101322,1.2123763,2.6815091e-08,8.022596,2.2784901,6.0652032e-05,3.4238307e-09
21,2026-03-18 16:00:57,4.6672186,3.3333367,3.2667715,1.0096426,4.2045221,3.0557291,1.0705485,7.4371837,1.8705047,0.21537319,9.8025146,1.616693,3.534121e-07,3.0304175,2.4782978,6.2802923e-05,1.6477753e-08
26,2026-03-18 16:01:00,4.5327038,3.0134979,3.3858876,0.50139378,1.3532858,2.381192,0.52184991,0.63403008,3.2512715,0.17087289,2.5504689,1.2688199,9.5893371e-08,9.3381944,3.8094773,7.8412027e-05,1.2733097e-08
25,2026-03-18 16:01:05,4.1877343,3.4106219,2.4299746,1.0281694,1.7497356,5.9080631,1.1695487,6.6009697,0.96773868,0.2932325,1.9693383,1.9108678,6.5206904e-08,6.187997,2.3431813,5.5967656e-06,2.3132016e-09
32,2026-03-18 16:01:15,4.785695,3.5909244,3.1635641,1.0856508,7.3663969,1.5016296,0.71627643,6.1856578,2.3347598,0.051882625,1.145973,1.7211137,8.0195241e-07,1.6261968,3.2083914,1.9413817e-05,3.4010786e-08
39,2026-03-18 16:06:21,4.3827375,2.7868114,3.3826129,0.10931298,6.496713,2.3178534,1.5046144,4.1739715,1.8073725,0.12843269,4.8798844,1.4641637,5.9456493e-05,1.5268852,4.4005658,0.00045505691,1.1790931e-07
36,2026-03-18 16:06:22,4.6907729,3.4411317,3.1877834,0.99680179,6.9782593,1.4559112,1.6726209,5.464837,1.8939275,0.19071361,9.3246416,1.2614196,1.2881311e-06,2.1498164,4.6012557,0.00024052857,4.6956739e-09
38,2026-03-18 16:06:26,4.2890705,3.3344595,2.6976852,0.1314598,4.8885912,4.0538051,0.3642226,1.1335205,5.2488132,0.2117545,2.8099815,1.7834165,0.00038193633,5.7966482,3.5334137,2.8330161e-06,7.1892466e-09
33,2026-03-18 16:06:27,4.544988,3.3066024,3.1182201,1.3410161,0.60148574,5.2205234,1.9325916,5.870341,3.8764226,0.16701093,1.2958039,1.8655358,1.8319919e-08,2.6777099,2.9171314,6.3625502e-07,3.6371516e-09
37,2026-03-18 16:06:30,4.7036923,3.2690906,3.3819769,1.0742009,6.7395778,2.6032932,0.79520996,6.1533587,4.2138905,0.20216873,2.1069714,1.6436051,4.1535579e-05,3.3298162,2.558121,0.00081968281,2.2989952e-07
44,2026-03-18 16:10:03,4.1568453,3.2751621,2.5598196,0.47051499,5.7046329,3.8000183,0.69791759,0.26790386,5.5641648,0.10393777,9.5933581,1.3303561,1.2658635e-05,2.4297069,3.5610169,6.8501287e-06,3.7435593e-09
42,2026-03-18 16:10:03,4.6932796,3.6371059,2.9661985,1.3353254,1.8484381,5.7950841,0.18724527,0.85869911,3.0974675,0.1147428,6.5163586,1.9429292,2.1547584e-06,2.9493876,2.8566268,0.00020433577,2.7800079e-08
43,2026-03-18 16:10:09,4.3323188,3.1958975,2.9249317,1.7417887,0.1837845,1.4049665,1.2960639,0.90730347,1.4953077,0.29358891,9.1979195,1.6996007,1.8608551e-08,2.8871403,4.4172487,3.1184974e-06,1.0227022e-09
47,2026-03-18 16:15:35,4.7514677,3.3337269,3.3856625,1.038315,5.5761118,1.6855963,0.29435941,4.2597722,4.1214465,0.13265714,4.2748305,1.4042808,5.2144666e-08,6.7229885,2.4989374,2.5142599e-05,3.3246903e-07
51,2026-03-18 16:15:42,4.802294,3.4172949,3.3740366,0.97644604,4.7576632,5.1808054,0.77266989,3.0798119,2.803584,0.084372119,3.7279586,1.7950702,3.721154e-06,1.1570177,2.3161506,0.0001057012,3.1924205e-07
52,2026-03-18 16:15:44,4.651799,3.4757676,3.0916457,1.251787,2.6155377,0.60342109,1.2846037,5.3513942,0.56189861,0.10763075,3.4184161,1.4604849,0.00093259303,7.0400426,4.7552465,1.613858e-05,1.5868737e-09
54,2026-03-18 16:15:56,4.6425097,3.3152114,3.2499646,1.7009853,1.8246138,5.0286669,1.8176286,2.4908301,5.884838,0.24810894,1.1025951,1.5359968,1.0455782e-08,9.5237055,2.3910657,1.6457507e-05,6.7003313e-09
56,2026-03-18 16:15:56,4.3152211,3.3591422,2.7087445,0.70352149,2.9347466,2.6932777,0.21300173,5.5047885,1.030308,0.070990059,7.6167245,1.8925909,7.3148077e-07,3.9052816,3.1760645,0.00014670217,1.2934398e-09
55,2026-03-18 16:15:56,4.5239083,3.2672233,3.1290572,1.2333766,1.5624056,2.6188017,1.9026267,4.4991695,4.7762045,0.078301005,1.8423453,1.9675689,3.5778781e-08,3.7175013,4.9377146,1.5391177e-05,2.1848392e-09
57,2026-03-18 16:16:06,4.2957525,3.4853206,2.511181,1.6260159,4.8495702,5.728514,0.12925003,7.1101178,3.4437168,0.1476825,4.3296461,1.6638368,1.9425523e-06,4.5148197,4.5112326,1.5400583e-08,1.7693098e-09
60,2026-03-18 16:19:19,4.5995785,3.4479014,3.0443551,0.4046766,3.3506091,4.6193609,0.49470509,4.5720446,1.4758619,0.050364619,2.0232311,1.4139212,0.00025140195,6.3160868,2.7544969,4.9285496e-06,5.7910639e-09
58,2026-03-18 16:19:19,4.4548076,3.3699751,2.9135165,1.2869712,5.9971309,3.6702746,0.16598349,3.516082,4.2727698,0.13968664,1.9413615,1.8295406,2.1515947e-07,1.1122598,3.1521874,2.119021e-07,1.2055e-07
61,2026-03-18 16:19:22,4.8709904,3.5373627,3.3486733,1.7696373,3.3114193,1.9510126,0.37598311,0.93349459,1.4040949,0.064462052,4.7972907,1.327237,8.0978913e-08,1.12067,4.2290393,2.0379365e-05,8.8494732e-09
62,2026-03-18 16:21:42,4.9109553,3.5574678,3.3855435,1.3013716,6.6051712,5.2963716,1.9943923,1.3836479,4.5924273,0.17885071,1.9791473,1.4418902,1.7025656e-07,1.9813538,3.6562973,0.00054541068,6.438834e-08
63,2026-03-18 16:24:47,3.7170767,2.8439917,2.3934015,0.51207856,4.5988519,2.9084666,1.5465526,6.6155958,1.4300278,0.24035646,9.6979296,1.8311587,0.00020529136,3.2742575,2.9793752,1.1294821e-05,3.2788416e-08
67,2026-03-18 16:25:09,4.2299464,2.9642318,3.0175779,1.1104145,4.7923213,3.2608726,0.04540204,0.35041253,0.85744989,0.23041835,9.2680684,1.3250692,9.6096262e-07,3.537161,4.0323694,2.6784049e-05,1.0115327e-08
68,2026-03-18 16:25:09,3.5220999,3.0048813,1.8373556,0.91293926,0.074277243,1.8885991,1.7778376,7.3085017,3.9934642,0.26981548,8.0148646,1.756441,0.00072426227,2.741021,2.8901226,1.0106208e-06,9.6634706e-09
69,2026-03-18 16:25:10,4.664597,3.5253239,3.0545959,1.3607653,0.30157203,0.058042457,0.71978619,7.992025,2.4019725,0.20351578,1.4519484,1.2508039,6.1584811e-06,1.6088225,3.7035571,1.0327838e-05,1.4369212e-08
66,2026-03-18 16:25:11,4.4742419,3.4319795,2.8706022,0.74716502,1.6634758,5.2480489,1.1589608,6.092749,2.4721229,0.19603119,3.3730478,1.6464372,6.766201e-05,1.7766443,3.0215561,0.00021533331,2.0806493e-09
70,2026-03-18 16:25:20,4.7505828,3.3324705,3.3856575,1.4346315,1.0816324,0.87065646,1.6925244,1.9227635,5.061014,0.26471747,1.5489486,1.8012797,7.4365544e-05,8.2740995,4.5874536,0.00075314062,3.5778651e-08
71,2026-03-18 16:25:30,4.626503,3.4368312,3.097212,0.27146816,3.716356,4.3836375,0.38657798,5.7481972,4.3189982,0.10909184,1.5023871,1.5735341,0.00014172282,5.2489045,3.6004606,1.4579882e-05,6.7815229e-09
74,2026-03-18 16:28:39,4.8238455,3.7555551,3.0274231,0.54691467,4.56193,3.6140129,0.4323061,0.039199955,5.330934,0.27528328,1.3087298,1.6067778,0.0005220164,1.6860159,3.3147717,0.00014118686,1.3741037e-09
75,2026-03-18 16:30:36,4.6326356,3.1617932,3.3859084,0.76027284,7.6636585,3.921214,1.6749581,7.6734503,0.63838606,0.28333444,2.1629915,1.4265379,0.00018270428,3.5752974,4.4271141,0.00072477079,6.5885891e-07
76,2026-03-18 16:30:43,4.5119567,3.3980119,2.9683781,0.24802433,5.0594941,3.5916768,1.5288003,3.6033604,3.8372099,0.10177535,4.6757475,1.6353091,2.058023e-06,7.241217,2.453378,0.00092502734,6.352009e-09
77,2026-03-18 16:30:54,4.4026249,3.2520126,2.9677466,1.6592704,1.800488,2.4710145,0.47934859,7.7617918,5.9926731,0.16065855,8.7753467,1.7780101,2.0152916e-07,5.4152984,4.3936741,3.6290479e-05,2.8137437e-09
72,2026-03-18 16:34:11,4.5636019,3.4698079,2.9642698,0.66807666,1.7071701,5.632747,0.84203787,4.6891714,2.2528051,0.12027245,1.6635011,1.5613136,1.1277068e-07,2.0112987,3.5821143,1.069901e-08,2.8683836e-08
84,2026-03-18 16:34:25,4.5111939,3.3835851,2.9836593,1.2101943,5.3764559,2.4348387,0.51436572,6.1256811,1.7556212,0.23624642,8.2190298,1.5554378,1.8906721e-06,6.0942506,4.2461384,0.00011076507,2.2569555e-09
79,2026-03-18 16:34:28,3.970449,2.0808447,3.3815013,0.15910284,2.0834489,5.415061,0.8093152,4.8925405,3.1961154,0.07719773,2.8673273,1.7668648,1.729861e-08,1.2167116,2.269059,1.5726919e-06,2.7286173e-07
83,2026-03-18 16:34:29,4.7678535,3.4442263,3.2969278,0.49508155,7.625156,3.3037592,0.11865775,0.75866392,4.0006709,0.059404906,1.3745436,1.4658016,3.1242719e-08,5.0739605,2.6664734,0.00066702894,1.828989e-09
86,2026-03-18 16:34:46,4.6334026,3.4278443,3.1174192,0.95361043,0.21615625,3.0154494,1.3841414,1.2678349,1.7192338,0.23702312,6.0050415,1.509726,4.1263261e-05,7.4740284,3.1696199,1.7898613e-05,2.5941929e-08
89,2026-03-18 16:37:54,4.5916997,3.4845783,2.9902208,0.36409242,7.7728578,3.3881499,1.0791661,0.46154896,2.5022951,0.19629899,2.2011518,1.5213547,6.196008e-07,1.4097221,3.2478686,0.00060726268,4.0207834e-09
90,2026-03-18 16:39:57,4.1612333,3.326917,2.4994971,0.82671889,5.2006297,0.63154491,1.4368516,0.98731313,2.2002131,0.068736238,2.5030786,1.3588478,1.8214359e-05,2.3180492,2.6997659,3.6929852e-08,1.9757931e-09
92,2026-03-18 16:40:00,4.7579863,3.3483102,3.3804219,0.33299844,6.778261,2.2215163,1.5588788,2.2083758,4.9196223,0.10042972,1.1424993,1.3005834,3.0662369e-07,3.0912611,2.3237971,3.0016478e-05,1.1105546e-07
93,2026-03-18 16:40:09,4.3352894,3.3108939,2.7986989,0.48749952,7.2229199,3.3575087,0.64697768,2.0404497,0.81180862,0.27326937,2.8881144,1.4789327,2.3122456e-07,1.0681986,4.1846458,3.7985137e-05,4.4354825e-09
