# OPTIMALIZATION LOG --- SUBSET STAGE --- 2026-03-19 10:50:14
# CALIBRATED VARS: ['b1_org_bnd', 'b3_org_bnd', 'alpha_org_bnd', 'n_org_bnd', 'K_org_bnd', 'alpha_min_bnd', 'K_min_bnd', 'S_max_bnd']
call_id,timestamp,error,error_heat,error_moist,b1_org[W/(m.K)],b2_org[W/(m.K)],b3_org[W/(m.K)],b1_min[W/(m.K)],b2_min[W/(m.K)],b3_min[W/(m.K)],albedo[-],alpha_org[1/m],n_org[-],K_org[m/s],alpha_min[1/m],n_min[-],K_min[m/s],S_max[m/s]
4,2026-03-19 10:59:06,4.0986919,3.1487216,2.6238955,2.6478565,6.4152019,1.3214155,0.22083929,0.51442833,0.51171692,0.26452425,3.659192,4.7116953,2.0172754e-05,2.2480963,2.8750303,5.818006e-08,3.4459125e-08
1,2026-03-19 10:59:18,4.2352658,3.5193441,2.3562033,5.9400485,6.4152019,2.6471147,0.22083929,0.51442833,0.51171692,0.26452425,1.15572,3.2468911,7.0541605e-05,3.1182311,2.8750303,1.9015416e-08,6.1579108e-09
15,2026-03-19 10:59:26,4.719551,3.2878898,3.3858444,1.0483013,6.4152019,7.5019906,0.22083929,0.51442833,0.51171692,0.26452425,2.8533766,1.5434785,5.466154e-08,3.3235932,2.8750303,1.4861282e-05,6.5721779e-07
12,2026-03-19 10:59:28,4.225783,3.4768944,2.4017592,6.7714429,6.4152019,0.14507338,0.22083929,0.51442833,0.51171692,0.26452425,4.6603385,2.9662117,6.6539016e-07,6.2807947,2.8750303,2.5497652e-05,2.3077082e-08
3,2026-03-19 10:59:28,4.6510712,3.4119575,3.1608558,7.4347056,6.4152019,3.1104739,0.22083929,0.51442833,0.51171692,0.26452425,1.0972372,1.4788438,6.0416147e-06,2.1992826,2.8750303,5.1006153e-08,1.3211722e-07
10,2026-03-19 10:59:29,4.3401037,3.378543,2.7243252,2.0556455,6.4152019,5.4826157,0.22083929,0.51442833,0.51171692,0.26452425,1.3007525,4.412397,0.00010611118,4.8298229,2.8750303,4.8249991e-05,6.6200368e-09
14,2026-03-19 10:59:29,4.3458556,3.3662612,2.74859,7.9261821,6.4152019,7.0072684,0.22083929,0.51442833,0.51171692,0.26452425,5.5714445,3.8043249,7.034052e-08,3.634865,2.8750303,0.00017274229,2.3381706e-09
7,2026-03-19 10:59:29,4.3909505,2.7958406,3.3858118,0.5949932,6.4152019,5.5413678,0.22083929,0.51442833,0.51171692,0.26452425,4.621743,2.4044987,1.1166431e-08,4.5027318,2.8750303,9.0190446e-08,5.2000423e-08
2,2026-03-19 10:59:30,3.720691,3.2978708,1.7226693,7.7005036,6.4152019,3.1897661,0.22083929,0.51442833,0.51171692,0.26452425,1.0715461,4.7617935,6.4665983e-08,1.1860315,2.8750303,8.4180976e-08,8.4566304e-09
9,2026-03-19 10:59:34,4.0789973,3.3366797,2.3462283,1.3178319,6.4152019,3.7340854,0.22083929,0.51442833,0.51171692,0.26452425,1.9071077,1.9592217,1.4187906e-06,4.270963,2.8750303,3.9314721e-07,1.8525455e-09
16,2026-03-19 10:59:35,4.0392954,3.1562505,2.5207123,1.4495699,6.4152019,0.5255973,0.22083929,0.51442833,0.51171692,0.26452425,3.0270759,2.8613178,3.861848e-06,1.6542694,2.8750303,0.0001385565,4.1811251e-09
5,2026-03-19 10:59:39,4.5477115,3.3093081,3.1193204,2.4609302,6.4152019,1.5213586,0.22083929,0.51442833,0.51171692,0.26452425,1.3398863,4.3365415,0.0003798382,5.6477564,2.8750303,2.7397487e-07,6.0055736e-08
11,2026-03-19 10:59:41,4.9434543,3.6019947,3.3857607,7.2800062,6.4152019,7.2136237,0.22083929,0.51442833,0.51171692,0.26452425,1.4389095,1.9211243,3.9997606e-08,1.7925583,2.8750303,6.3813644e-06,4.6056445e-07
13,2026-03-19 11:00:48,4.8367759,3.4540852,3.3858081,5.6095301,6.4152019,5.8706498,0.22083929,0.51442833,0.51171692,0.26452425,2.2232808,2.7133486,2.6402445e-07,6.0262067,2.8750303,0.00087929272,4.1682898e-07
27,2026-03-19 11:07:35,4.6983447,3.2666866,3.3768627,1.4635138,6.4152019,7.1828386,0.22083929,0.51442833,0.51171692,0.26452425,6.2355232,2.8050617,1.2371115e-07,1.3425454,2.8750303,0.00057089624,7.1884396e-08
19,2026-03-19 11:07:37,4.1393013,3.3547195,2.4248035,2.2070996,6.4152019,4.0654539,0.22083929,0.51442833,0.51171692,0.26452425,4.3088431,2.2128891,8.4077569e-05,2.3889958,2.8750303,2.5963272e-08,3.8816964e-08
18,2026-03-19 11:07:44,4.0562047,3.4518154,2.1302035,5.5640598,6.4152019,3.4950575,0.22083929,0.51442833,0.51171692,0.26452425,1.620498,3.3273947,7.9903822e-07,1.4492708,2.8750303,3.4099732e-05,1.0625472e-09
17,2026-03-19 11:07:49,4.3846606,3.2502155,2.9430168,2.8940314,6.4152019,1.6586649,0.22083929,0.51442833,0.51171692,0.26452425,3.1233612,3.282111,3.3948889e-08,4.8769051,2.8750303,0.00040057938,1.4677408e-09
21,2026-03-19 11:07:54,4.0342237,3.3143687,2.2999829,1.9127025,6.4152019,7.831396,0.22083929,0.51442833,0.51171692,0.26452425,4.4024295,1.6545344,3.4541717e-06,3.2011985,2.8750303,2.1702307e-05,2.0218016e-09
22,2026-03-19 11:07:56,4.7694791,3.6207438,3.1045362,7.1727261,6.4152019,3.5117996,0.22083929,0.51442833,0.51171692,0.26452425,2.398694,1.9843307,1.119427e-05,3.2786604,2.8750303,2.0845095e-05,3.9393819e-08
25,2026-03-19 11:08:07,3.5112474,3.1922969,1.4622239,0.91872485,6.4152019,5.9606866,0.22083929,0.51442833,0.51171692,0.26452425,3.5392117,4.7530037,0.00061384578,4.3207628,2.8750303,1.6222073e-07,1.3284063e-09
20,2026-03-19 11:08:15,3.9368255,3.2180224,2.2678022,0.16632023,6.4152019,3.9749483,0.22083929,0.51442833,0.51171692,0.26452425,1.1131337,1.8881148,3.8643096e-05,1.2440653,2.8750303,1.2554504e-06,5.7852758e-09
29,2026-03-19 11:08:18,3.8543046,3.2102282,2.1330961,6.2147466,6.4152019,2.5455566,0.22083929,0.51442833,0.51171692,0.26452425,4.8964482,3.5173971,0.0006890267,1.0637955,2.8750303,1.0297802e-07,3.6457499e-09
26,2026-03-19 11:08:21,4.8439428,3.6066456,3.2335568,6.2720132,6.4152019,1.6221583,0.22083929,0.51442833,0.51171692,0.26452425,1.1921315,4.3106569,0.00035509142,5.7235189,2.8750303,0.00020126221,2.6576523e-08
