# OPTIMALIZATION LOG --- SUBSET STAGE --- 2026-03-08 12:44:42
# CALIBRATED VARS: ['b1_org', 'b1_min', 'b3_org', 'albedo', 'alpha_org', 'n_org', 'alpha_min', 'n_min']
call_id,timestamp,error,error_heat,error_moist,b1_org[W/(m.K)],b2_org[W/(m.K)],b3_org[W/(m.K)],b1_min[W/(m.K)],b2_min[W/(m.K)],b3_min[W/(m.K)],albedo[-],alpha_org[1/m],n_org[-],K_org[m/s],alpha_min[1/m],n_min[-],K_min[m/s],S_max[m/s]
1623,2026-03-14 05:19:48,1.4385408,1.1862703,0.81373375,0.18093259,0.872773,1.2146781,0.63098438,0.854659,1.4491847,0.073525347,3.8648655,3.0318494,5.49161e-05,3.2390196,1.2908993,0.000183719,1.79521e-08
1605,2026-03-14 05:12:03,1.294382,1.1424353,0.60849532,0.19627122,0.872773,0.49799712,0.94744753,0.854659,1.4491847,0.10426743,2.6438099,3.2563004,5.49161e-05,4.5772854,1.2305521,0.000183719,1.79521e-08
1583,2026-03-14 04:56:56,1.4844648,1.233157,0.8264138,0.12222122,0.872773,0.87611122,0.77085511,0.854659,1.4491847,0.24021692,1.0999559,2.9563387,5.49161e-05,1.6056619,1.2975447,0.000183719,1.79521e-08
1566,2026-03-14 04:50:56,1.6264371,1.5231907,0.57025238,0.29765732,0.872773,0.55144323,1.2483277,0.854659,1.4491847,0.10803789,3.1417091,3.6586743,5.49161e-05,1.4350618,1.3576754,0.000183719,1.79521e-08
1524,2026-03-14 04:26:48,1.3866864,1.1702878,0.74385874,0.1273896,0.872773,1.461685,0.42277114,0.854659,1.4491847,0.12492187,2.6740492,4.249335,5.49161e-05,1.307995,1.3725197,0.000183719,1.79521e-08
1319,2026-03-14 02:45:36,1.872545,1.776804,0.59109431,0.42838173,0.872773,0.21908685,0.86783107,0.854659,1.4491847,0.10717837,1.7541166,3.1099264,5.49161e-05,3.2460468,1.2535311,0.000183719,1.79521e-08
781,2026-03-13 21:38:49,1.9215175,1.8122798,0.63864806,0.28712694,0.872773,1.7859859,2.1281922,0.854659,1.4491847,0.15188494,1.7220969,3.9520586,5.49161e-05,3.2543942,1.2846163,0.000183719,1.79521e-08
460,2026-03-13 18:47:40,1.8288678,1.7142176,0.63735037,0.13169628,0.872773,1.6101803,2.2396413,0.854659,1.4491847,0.13083014,4.5823334,2.6549298,5.49161e-05,2.0602542,1.2880211,0.000183719,1.79521e-08
2028,2026-03-14 08:48:05,1.9729133,1.5691286,1.1959189,0.32341241,0.872773,1.5677236,0.23839828,0.854659,1.4491847,0.27751674,4.3755085,3.1731409,5.49161e-05,1.2714847,1.3047978,0.000183719,1.79521e-08
2028,2026-03-14 08:48:05,1.9729133,1.5691286,1.1959189,0.32341241,0.872773,1.5677236,0.23839828,0.854659,1.4491847,0.27751674,4.3755085,3.1731409,5.49161e-05,1.2714847,1.3047978,0.000183719,1.79521e-08
1891,2026-03-14 07:31:40,1.7826125,1.6269519,0.72851551,0.24955589,0.872773,1.6063813,0.62777573,0.854659,1.4491847,0.25179679,2.8928042,4.3925179,5.49161e-05,4.5696973,1.3292165,0.000183719,1.79521e-08
1839,2026-03-14 07:05:41,1.9678854,1.6490508,1.0738736,0.12222122,0.872773,0.56592873,1.4694966,0.854659,1.4491847,0.24021692,1.4304378,3.6785839,5.49161e-05,1.6056619,1.2745057,0.000183719,1.79521e-08
5161,2026-03-15 12:25:44,1.2699154,0.92368615,0.87148663,0.078526359,0.872773,0.92829155,0.075189643,0.854659,1.4491847,0.12746051,2.1901912,4.8494415,5.49161e-05,1.9506773,1.417855,0.000183719,1.79521e-08
4909,2026-03-15 10:16:47,1.462266,0.89701755,1.154808,0.079349305,0.872773,0.25415288,0.37333081,0.854659,1.4491847,0.07162545,3.2891762,2.2638024,5.49161e-05,4.0843438,1.2799701,0.000183719,1.79521e-08
5687,2026-03-16 06:14:40,1.0542164,0.90789792,0.53581114,0.14313564,0.872773,0.43529839,0.183913,0.854659,1.4491847,0.11769206,1.8735754,4.1124605,5.49161e-05,2.8128537,1.3068701,0.000183719,1.79521e-08
