parameter,mu,mu_star,mu_star_conf,sigma
log10_S_max,0.8117192679448071,1.6293507198338173,0.8018247603044273,1.9170153497697244
n_min,-1.615538363468246,1.615538363468246,1.9950429231187905,2.4345725024176526
log10_K_min,0.3486865050586309,0.3486865050586309,0.5750640499379319,0.7007828544978718
b1_org,0.2944874330279242,0.2944874330279242,0.39081843116132564,0.4920165318378764
log10_alpha_min,0.21750113862486176,0.21750113862486176,0.23810344930761648,0.34716747760531763
log10_K_org,-0.15289906918248955,0.15289906918248955,0.2750109417402566,0.31349276695331046
n_org,-0.11457401726864144,0.11457401726864144,0.19792836641988912,0.25619529106791705
albedo,-0.022199031850787154,0.09303020717578514,0.1047777705350429,0.16724138296408636
log10_alpha_org,-0.07500913602937928,0.09064882100166352,0.1492819974223109,0.18801646180169657
b1_min,-0.04391576815859706,0.07496757279662339,0.06297608701977646,0.1070887610517388
b3_min,0.03171342746644803,0.05747810361355232,0.0711574745937888,0.1104985475584981
b3_org,0.03746056263767246,0.03746056263767246,0.06720656950568565,0.08142286878660103
b2_org,0.023842254668014463,0.023842254668014463,0.03835802868499203,0.04453800054790249
b2_min,-0.0006302385390624998,0.0006302385390624998,0.001136400838957577,0.001409256215383906
